配置,年化,夏普,最大回撤,波动,年换手,年交易笔数,单笔均额,成本年化拖累,累计成本元,夏普前半,夏普后半,期末资金
American-250/20-w1,0.05295372499249873,0.5131068948400125,-0.13816717954434798,0.11129476270080682,1.2198190486110942,6.459493670886076,37768.25586528569,0.00042769452725062044,834.2683371061485,0.6348289276113219,0.3584948917531018,330818.42672774807
American-250/20-w0.5,0.048108530141551364,0.481487080775759,-0.15127278399713417,0.10824638457203149,1.0465050669565437,5.741772151898734,36452.33698834522,0.0003729149053883585,727.4142598933413,0.5936422242832421,0.3364563780091903,316267.06591387
European-60日-带35%,0.03513750502189694,0.4408502419947784,-0.14299587444753004,0.1008447238214998,8.458107900068569,76.79620253164556,22027.411828295077,0.0035049783068019594,6836.871265119872,0.6941198441994167,0.2070095226610607,280096.199954626
American-250/50-w1,0.04200816771557947,0.42379382537702426,-0.15767769727387115,0.11050201672840257,0.8104932229162061,4.511392405063291,35930.95657148164,0.00026746606468883535,521.7239286522962,0.5664671754610391,0.23697763788840218,298764.23319021333
American-250/50-w0.5,0.04037188467245345,0.42057730305366103,-0.18447730716805588,0.1066296589849969,0.8490105134268113,4.818987341772152,35236.05493076864,0.00029257201968703,570.696038401861,0.5495313373695005,0.24445728428938532,294219.84806979215
European-20日-带35%,0.02877408019660188,0.41911962204653413,-0.17359012922941985,0.10376708794696143,17.135464584063637,160.9746835443038,21289.639099489304,0.007328538280133057,14295.173435321274,0.5768472826919597,0.3233562497484723,263747.3801015415
European-40日-带35%,0.031541255891246234,0.41754472505935963,-0.14869413873386939,0.10107852479475293,10.757370779611348,99.7632911392405,21565.789694321917,0.0045104304858880106,8798.123663830935,0.6252007607000963,0.25784529022701974,270748.4572087798
European-60日-带10%,0.03182458124568521,0.41094972544596253,-0.16046361931324793,0.10522588349347264,14.256370128221105,269.9658227848101,10561.611081847841,0.009428311178143214,18391.026742550963,0.5954107667619466,0.2440786398996086,271474.6116723143
European-60日-带20%,0.03191736556682723,0.40677195613394446,-0.14216462359747173,0.10606655849667712,11.205927036176329,147.23544303797468,15221.779219676228,0.005770920934982737,11256.858120089784,0.5929179151608036,0.2401321455116804,271712.7947706474
European-120日-带35%,0.03342464101672027,0.4053362765583961,-0.1355811730480393,0.09897771063614114,4.7055080422358335,48.189873417721515,19529.03258926351,0.0020898173752876086,4076.4338925363236,0.534389851352437,0.2574350044669126,275608.425196867
European-120日-带20%,0.03237659350786348,0.40525924834960153,-0.15396747055678128,0.0997927334149339,6.4833318170673495,97.91772151898734,13242.407434511555,0.003665494392783356,7149.976716787287,0.5181026348097406,0.2808449988142028,272894.4248967742
European-40日-带10%,0.029495664462710902,0.39932172724832415,-0.15599266774211584,0.10637077784235095,17.70668175995753,317.74556962025315,11145.19505723985,0.011309621359106709,22060.74289801062,0.599695825208813,0.23546280376248407,265557.18099767854
European-20日-带20%,0.025060146958174156,0.39227688558475593,-0.18015962081591796,0.1029512394155966,21.791590115497176,272.73417721518985,15980.094858667753,0.011066110901100448,21585.747189800873,0.5972779160969804,0.2510444028231525,254606.40552895836
European-5日-带35%,0.02265416047266333,0.3920707907935782,-0.1609452755183034,0.08890049194733363,42.171922070288815,353.3240506329114,23871.526432885625,0.017271710022614545,33690.496093495036,0.6824544735402523,0.1982259937939658,248837.4377246085
