layer,code,name,n_obs,phi,d_gph,d_t,mu_z_an,best_span,best_srnet,sigma_ann,phi_t,phi_h1,phi_h2,phi_raw,acf_sum_20,d_se,c_norm_bp,sr_5,srnet_5,cbe_5,sr_10,srnet_10,cbe_10,sr_20,srnet_20,cbe_20,sr_40,srnet_40,cbe_40,sr_60,srnet_60,cbe_60,sr_90,srnet_90,cbe_90,sr_120,srnet_120,cbe_120,sr_180,srnet_180,cbe_180,sr_250,srnet_250,cbe_250,sr_375,srnet_375,cbe_375,cbe_real_bp,cost_headroom
broad,883300.TI,沪深300样本股,2474,0.03090622393248829,0.14466087042093848,1.3872872658672224,0.33223938337995856,5,0.4493712553991478,0.19130993738794114,1.5372545764416794,0.04602416022363435,0.014119976286678375,-0.03901349648808462,0.03418630681934452,0.10427607459548613,5.749832000464272,0.537537046629658,0.4493712553991478,6.70657794865913,0.4388434240600827,0.37431274943249443,7.480593830018857,0.3331182882210555,0.28665448203854765,7.8863560080256745,0.2678092312902636,0.2348038658355484,8.925523179662422,0.2435683394404003,0.21668457262523408,9.966057778528752,0.23092119645731574,0.2091282077091393,11.655735660594171,0.22809423917425625,0.20938218767929911,13.408666770679842,0.2268909749687738,0.21185758799917825,16.60171942426664,0.2235689082784545,0.21100205485073953,19.569401403531508,0.21264768942943726,0.2025695919806509,23.209981800736557,6.70657794865913,6.0968890442355725
broad,883301.TI,上证50样本股,2473,0.039869706031270026,0.07231592925973118,0.6935044222991785,0.3646450908362897,5,0.42762438509448386,0.1842195477073382,1.9826912579007823,0.049986567071225736,0.026844062436592975,-0.03649031031622255,-0.056820278740188496,0.10427608957413975,5.971136145375428,0.5192748549795027,0.42762438509448386,6.232399475900798,0.3279985448522905,0.26029679520110854,5.329233013865257,0.13244001293482183,0.08284533965738128,2.937493174182725,0.042164702884387194,0.006323258165580478,1.2940653909659174,0.040638169211844766,0.011300522256036175,1.523707276195805,0.066694967726469,0.042917417685195206,3.0854509557026546,0.09525262150192206,0.0749010296186946,5.148387617701095,0.1397712158012891,0.1235680980313622,9.488811941290468,0.17406824377602967,0.16068928112306494,14.311652788058462,0.20892684619288368,0.1984375202835782,21.909847477261646,6.232399475900798,5.665817705364361
broad,883302.TI,上证180成份股,2474,0.03550994227472536,0.08231055499450983,0.7893522585484136,0.3538440852224694,5,0.4417478917138208,0.18135116692648232,1.7662403983819999,0.047905253627125964,0.02268807468555229,-0.0415087896506103,-0.027175747142983365,0.10427607459548613,6.065579938870354,0.534764983310784,0.4417478917138208,6.324014990607026,0.38892233630202666,0.3205352762912268,6.255782451602218,0.22326410599650626,0.1735063886058233,4.935727148973744,0.1265903825966852,0.09078485808664005,3.8890484851656812,0.10647528952203525,0.07714878533546508,3.993753150021686,0.10492336675466776,0.08104554565351922,4.833594444870975,0.10999572350725954,0.08942765922322984,5.882677834293511,0.1202947950520021,0.1036972242465844,7.972508513957337,0.12938417722771797,0.11548349817528074,10.238535427917533,0.13972904751750903,0.12860900451163662,13.822064553895276,6.324014990607026,5.749104536915477
broad,883303.TI,上证380成份股,2473,0.03406559086004227,-0.1436168991991892,-1.3772754596544239,-0.028767211097359236,5,0.39080573462746904,0.2097583664384923,1.6940568646394685,0.027393127901981187,0.04059985235117198,-0.011323294370059285,0.026699589689113512,0.10427608957413975,5.2441293221195755,0.4715699415464864,0.39080573462746904,6.4227329839475145,0.3276951671407271,0.2682025114716483,6.058977865433411,0.20802917084650602,0.16489823435596498,5.305520968257699,0.08198028086227133,0.05073326590049049,2.8859815588400455,0.014537434940652454,-0.011406788510060408,0.6163675881491192,-0.025300052582749002,-0.04678000141995306,-1.2956296149468116,-0.032498374278426424,-0.05119539040611579,-1.9119741600547553,-0.023677727355023274,-0.03894666942057944,-1.705782887819013,-0.019457428357285214,-0.03241964840875521,-1.6511964083333461,-0.04444109560010191,-0.055220810211940134,-4.534925730448064,6.4227329839475145,5.838848167225013
broad,883304.TI,中证500成份股,2472,0.030172314090355944,-0.10413492575203911,-0.9986461057447227,-0.0446211577895826,5,0.40350549105074607,0.22647759457469407,1.5001436680751117,0.0217821206941949,0.0390731777364247,0.0011179299717181893,0.07527599303789326,0.10427610457098047,4.856992595959471,0.4782773010393708,0.40350549105074607,7.03614144452764,0.38065446629191385,0.3258240354898642,7.636633650258552,0.30821026415065594,0.26880929062541836,8.60464248043417,0.22094587566700036,0.1927925398298445,8.632741236757587,0.17482673003845942,0.15172189792999036,8.32334128806824,0.1503149096012689,0.1314453629234353,8.76260587413217,0.14627877946855744,0.13000825566662505,9.889457731920277,0.14765128056219354,0.13450941209547343,12.358699908594355,0.13892993889087518,0.1278475707565986,13.789736176268848,0.09592023649549553,0.08676758450028474,11.528053311789344,7.03614144452764,6.396492222297854
broad,159915.SZ,创业板ETF,2472,0.010197533032387992,-0.07147264085517882,-0.6854172501862839,0.07695004350764559,20,0.49807282859300156,0.2966321872985257,0.5070133024173079,-0.0023680010124807944,0.022613487270554032,0.0019212146279412364,0.18997395334503592,0.10427610457098047,3.7082961563202796,0.41251531447958434,0.35520531390415905,7.917760275195663,0.4622705706790437,0.42072514478290657,12.239557467004518,0.5272596382386229,0.49807282859300156,19.871497059956884,0.5065018074249665,0.48619411018513253,27.43550790557372,0.46655621328824126,0.4501328470253063,31.248882013628812,0.4466453466025846,0.43346816214830564,37.28489063559422,0.45332600421700847,0.4421620472415133,44.66683325036663,0.4761999706262584,0.46747515594187145,60.03794769718821,0.4799126213299947,0.47277794205200696,73.99125635425676,0.4359135016531585,0.43023757140420765,84.48039894554876,19.871497059956884,18.064997327233527
broad,510050.SH,上证50ETF,2473,0.041029184713590065,0.08502941347601231,0.815425797258698,0.5277005876546998,5,0.5052627941593463,0.18250728056787266,2.04035128291715,0.04908989425857359,0.03297169154245618,-0.023200588476204178,-0.049292722904297266,0.10427608957413975,6.027156815757391,0.5972882169262008,0.5052627941593463,7.1395166559937095,0.42385776469242675,0.35616630419037837,6.887774878894226,0.24173315723883612,0.19244584134639653,5.395028480410886,0.16023488513012182,0.12491362213271898,4.990149238324071,0.1629289587014782,0.13420449429376835,6.239345389622711,0.19336518288087795,0.17027495283011201,9.211761888093891,0.22552849473598238,0.20590755342663275,12.643702475750569,0.2760059860188013,0.26058228238999404,19.684415100769154,0.3154967499920629,0.30292342601572275,27.60180407697475,0.35674521310543716,0.3470754787725223,40.582266369017184,7.1395166559937095,6.490469687267008
broad,510300.SH,沪深300ETF,2473,0.03298215405135198,0.13294116560179078,1.2748959626767584,0.4690748731071415,5,0.4802366727553024,0.18805575921651435,1.6401783462627995,0.033795593928734206,0.029541181286725615,0.002277800584040063,0.02575658319836427,0.10427608957413975,5.849328968083006,0.5697157725476009,0.4802366727553024,7.003728817757959,0.47211270351537155,0.40669772941572707,7.938915837157402,0.3707748695086574,0.3237720998927314,8.67719838197216,0.3163238641422828,0.2830838170038381,10.467983065946761,0.3006314582646112,0.2736734266040069,12.267015939978299,0.2984704768574322,0.2767555607714125,15.119447076958764,0.30435215929345544,0.28582224565788483,18.067400734136847,0.31623299411020794,0.3015163307399052,23.636899531396455,0.32313576432561064,0.31097830416066563,29.237138015313434,0.32393413352990796,0.31435964738995337,37.21636249447731,7.003728817757959,6.36702619796178
broad,510500.SH,中证500ETF,2473,0.041628454662066904,-0.08889393948001006,-0.8524863163075073,0.03757142879652246,5,0.5569154186295433,0.22502125208451593,2.0701525382119796,0.02245885810310119,0.05803713215735638,0.01824202746135818,0.08736316454565565,0.10427608957413975,4.88842715881276,0.6314856314074142,0.5569154186295433,9.315169806707216,0.4966875647968128,0.442095266267375,10.007937676078658,0.39903710312461,0.3598738243782737,11.207968982375705,0.3014104077817658,0.2735241912789971,11.889438229349755,0.2504332139652821,0.22760544830042864,12.067608341798643,0.21991334521314893,0.20131569270717908,13.007269581836347,0.21089092797244113,0.19487974481627884,14.48862451369824,0.20404518682978814,0.19113332162636906,17.383213190092185,0.18772766803377816,0.17684460938588803,18.974485162513535,0.13496193073945292,0.12596976659814152,16.50972129516167,9.315169806707216,8.46833618791565
broad,510880.SH,红利ETF,2473,0.07354384389541833,-0.10312863134897263,-0.9889959603409246,0.7090238790979438,5,1.003098322146855,0.15974402958876985,3.6572814519751526,0.09215791308428604,0.05497515290239047,0.003844281717909049,-0.0810440567154385,0.10427608957413975,6.88601635273467,1.104934406511816,1.003098322146855,11.935139245997874,0.780610802079499,0.7058864506865038,11.491192178724528,0.3628711149016645,0.30753837456825106,7.213780195715228,0.01035520856414925,-0.031182183777024444,0.2742283224475116,-0.09795612305060927,-0.13290874453714085,-3.082794101643867,-0.12333236476264181,-0.15233247706677985,-4.678106064421957,-0.09835372314507405,-0.12343536859320145,-4.3134767885676695,-0.0181728957784682,-0.03814945776808719,-1.0006819675329077,0.07144751772569272,0.055207681668705794,4.839474316272358,0.1929755858803502,0.18076225201390192,17.380442292790267,11.935139245997874,10.850126587270793
