factor,n,IC,AUC,AUC_abs,mean_晋级,mean_未晋级
sect_ladder,12055,0.0547,0.5388,0.5388,6.04,5.625
sect_rank_inv,27087,0.0257,0.5173,0.5173,0.171,0.157
sect_n_hot,27087,0.0262,0.5171,0.5171,0.643,0.594
sect_up_nums,27087,0.0249,0.5167,0.5167,9.819,8.434
sect_pct_max,12869,0.0199,0.5142,0.5142,2.532,2.251
sect_pct,12869,0.0142,0.5102,0.5102,2.263,2.017
sect_top3,27087,0.0189,0.5091,0.5091,0.193,0.175
