factor,n,IC,AUC,AUC_abs,mean_晋级,mean_未晋级,差异%
emv_hfq,61130,0.0596,0.5443,0.5443,0.5582,0.4003,39.4
mfi_hfq,61357,0.0568,0.5422,0.5422,65.5849,63.4006,3.4
vr_hfq,61168,0.0456,0.5339,0.5339,170.7228,158.1083,8.0
obv_hfq,61823,-0.0111,0.4918,0.5082,3700.4615,3874.1906,-4.5
